log Kd;compound;Kd (L/kg);log D (L/kg);molecular weight (g/mol);positive charges ;negative charges ;Log S (mol/L) at pH 7;number of aromatic rings;molecular volume  (cm3/mol/100)  ;estimated log KOC  (L/kg);surface area (m2/g);PZC;O wt%;delta_PZCpH
4.57E+00;PFBS;3.75E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;992;9.7;;2.8
4.59E+00;PFHxA;3.91E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;992;9.7;;2.8
4.61E+00;PFHpA;4.04E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;992;9.7;;2.8
4.89E+00;PFHxS;7.78E+04;1.65;400.11;0;1;-5;0;1.52;3.3;992;9.7;;2.8
4.01E+00;PFPeA;1.02E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;840;9.7;;2.8
4.50E+00;PFBS;3.19E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;840;9.7;;2.8
4.31E+00;PFHxA;2.04E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;840;9.7;;2.8
4.39E+00;PFHpA;2.43E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;840;9.7;;2.8
4.77E+00;PFHxS;5.89E+04;1.65;400.11;0;1;-5;0;1.52;3.3;840;9.7;;2.8
4.14E+00;PFPeA;1.39E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;897;9.8;;2.9
4.51E+00;PFBS;3.23E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;897;9.8;;2.9
4.36E+00;PFHxA;2.31E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;897;9.8;;2.9
4.50E+00;PFHpA;3.16E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;897;9.8;;2.9
4.82E+00;PFHxS;6.54E+04;1.65;400.11;0;1;-5;0;1.52;3.3;897;9.8;;2.9
5.36E+00;PFPeA;2.28E+05;-0.54;264.05;0;1;-3.72;0;1.05;2.43;958;9.81;1.44;2.91
6.16E+00;PFHxS;1.45E+06;1.65;400.11;0;1;-5;0;1.52;3.3;958;9.81;1.44;2.91
5.84E+00;PFHpA;6.97E+05;0.88;364.06;0;1;-5.42;0;1.4;3.77;958;9.81;1.44;2.91
5.63E+00;PFHxA;4.28E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;958;9.81;1.44;2.91
5.47E+00;AFBA;2.92E+05;-4.5;290.06;0;1;-3.39;0;1.6;2.96;958;9.81;1.44;2.91
5.85E+00;PFBS;7.05E+05;0.251;299.1;0;1;-3.36;0;1.17;2.26;958;9.81;1.44;2.91
4.95E+00;PFPeA;8.94E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1004;5.95;3.5;-0.95
5.09E+00;PFHxA;1.22E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;1004;5.95;3.5;-0.95
5.15E+00;PFBS;1.42E+05;0.251;299.1;0;1;-3.36;0;1.17;2.26;1004;5.95;3.5;-0.95
5.24E+00;AFBA;1.72E+05;-4.5;290.06;0;1;-3.39;0;1.6;2.96;1004;5.95;3.5;-0.95
