log Kd (L/kg),log D (L/kg),molecular weight (g/mol),positive charges,negative charges,Log S (mol/L) at pH 7,number of aromatic rings,molecular volume  (cm3/mol/100),estimated log KOC  (L/kg),surface area (m2/g),O wt%,delta_PZCpH,PZC
2.681241237375587,-3.8,150.08,0,1,-0.61,0,0.642,0.352,982.0,2.9,-0.5,6.4
4.169086357487023,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1054.0,0.6,0.6999999999999993,7.6
4.230704313612569,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1003.0,0.57,-0.2000000000000001,6.7
4.224274014294258,0.251,299.1,0,1,-3.36,0,1.1711,2.26,993.0,1.3,0.6999999999999993,7.6
4.201397124320452,0.251,299.1,0,1,-3.36,0,1.1711,2.26,945.0,1.5,-0.3000000000000007,6.6
3.8836614351536176,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1047.0,1.65,-0.2000000000000001,6.7
3.788875115775417,0.251,299.1,0,1,-3.36,0,1.1711,2.26,982.0,2.9,-0.5,6.4
4.685831274626064,1.65,400.11,0,1,-5.0,0,1.52,3.3,1054.0,0.6,0.6999999999999993,7.6
4.704665185454529,1.65,400.11,0,1,-5.0,0,1.52,3.3,1003.0,0.57,-0.2000000000000001,6.7
4.691081492122969,1.65,400.11,0,1,-5.0,0,1.52,3.3,993.0,1.3,0.6999999999999993,7.6
4.678973375919766,1.65,400.11,0,1,-5.0,0,1.52,3.3,945.0,1.5,-0.3000000000000007,6.6
4.639486489268586,1.65,400.11,0,1,-5.0,0,1.52,3.3,1047.0,1.65,-0.2000000000000001,6.7
4.515873843711679,1.65,400.11,0,1,-5.0,0,1.52,3.3,982.0,2.9,-0.5,6.4
5.880813592280791,-1.64,239.2,1,0,1.2,1,2.08,1.52,2142.0,9.19,-2.1000000000000005,4.8
5.734685556602553,-1.64,239.2,1,0,1.2,1,2.08,1.52,1757.0,8.42,-0.7000000000000002,6.2
5.296482367913261,0.14,253.28,0,1,-1.03,1,1.72,2.41,2142.0,9.19,-2.1000000000000005,4.8
4.801632346233166,0.14,253.28,0,1,-1.03,1,1.72,2.41,1757.0,8.42,-0.7000000000000002,6.2
5.977723605288848,0.92,290.3,1,0,-2.42,1,2.21,2.86,2142.0,9.19,-2.1000000000000005,4.8
5.898542359241223,0.92,290.3,1,0,-2.42,1,2.21,2.86,1757.0,8.42,-0.7000000000000002,6.2
6.0,0.74,277.4,1,0,-0.57,1,2.62,2.94,2142.0,9.19,-2.1000000000000005,4.8
5.917025764935236,0.74,277.4,1,0,-0.57,1,2.62,2.94,1757.0,8.42,-0.7000000000000002,6.2
6.048304679574555,0.59,263.4,1,0,-0.31,1,2.36,3.24,2142.0,9.19,-2.1000000000000005,4.8
5.956534306218909,0.59,263.4,1,0,-0.31,1,2.36,3.24,1757.0,8.42,-0.7000000000000002,6.2
5.68432,-0.8,361.4,0,0,-2.21,1,2.44,1.09,2142.0,9.19,-2.1000000000000005,4.8
5.849772945024244,-0.8,361.4,0,0,-2.21,1,2.44,1.09,1757.0,8.42,-0.7000000000000002,6.2
6.236339286337593,-0.47,267.3,1,0,0.3,1,2.59,2.06,2142.0,9.19,-2.1000000000000005,4.8
6.149762320333331,-0.47,267.3,1,0,0.3,1,2.59,2.06,1757.0,8.42,-0.7000000000000002,6.2
6.025760862144421,-1.24,267.3,0,1,-1.47,1,3.3,1.23,2142.0,9.19,-2.1000000000000005,4.8
5.856868258565682,-1.24,267.3,0,1,-1.47,1,3.3,1.23,1757.0,8.42,-0.7000000000000002,6.2
5.157898254229663,0.72,254.3,0,1,-0.85,2,2.12,2.59,2142.0,9.19,-2.1000000000000005,4.8
4.759667844689631,0.72,254.3,0,1,-0.85,2,2.12,2.59,1757.0,8.42,-0.7000000000000002,6.2
5.091080469347332,-0.44,791.1,0,0,-2.24,1,3.64,1.0,2142.0,9.19,-2.1000000000000005,4.8
4.771606322699168,-0.44,791.1,0,0,-2.24,1,3.64,1.0,1757.0,8.42,-0.7000000000000002,6.2
5.857779071773346,-1.45,330.7,0,1,-3.18,1,2.06,2.04,2142.0,9.19,-2.1000000000000005,4.8
